Hidden Size,Layers,Dropout,LR,F1
32,1,0.02,0.001,0.8582
32,1,0.02,0.0005,0.8431
32,1,0.02,0.0001,0.8025
32,1,0.05,0.001,0.8351
32,1,0.05,0.0005,0.8470
32,1,0.05,0.0001,0.7970
32,1,0.1,0.001,0.8591
32,1,0.1,0.0005,0.8461
32,1,0.1,0.0001,0.8073
32,2,0.02,0.001,0.9034
32,2,0.02,0.0005,0.8953
32,2,0.02,0.0001,0.8495
32,2,0.05,0.001,0.9001
32,2,0.05,0.0005,0.8887
32,2,0.05,0.0001,0.8521
32,2,0.1,0.001,0.9024
32,2,0.1,0.0005,0.8884
32,2,0.1,0.0001,0.8507
32,3,0.02,0.001,0.9122
32,3,0.02,0.0005,0.8982
32,3,0.02,0.0001,0.8648
32,3,0.05,0.001,0.9026
32,3,0.05,0.0005,0.8938
32,3,0.05,0.0001,0.8621
32,3,0.1,0.001,0.9040
32,3,0.1,0.0005,0.8982
32,3,0.1,0.0001,0.8521
64,1,0.02,0.001,0.8550
64,1,0.02,0.0005,0.8562
64,1,0.02,0.0001,0.8171
64,1,0.05,0.001,0.8697
64,1,0.05,0.0005,0.8571
64,1,0.05,0.0001,0.8164
64,1,0.1,0.001,0.8707
64,1,0.1,0.0005,0.8581
64,1,0.1,0.0001,0.8192
64,2,0.02,0.001,0.9028
64,2,0.02,0.0005,0.8994
64,2,0.02,0.0001,0.8605
64,2,0.05,0.001,0.9118
64,2,0.05,0.0005,0.8970
64,2,0.05,0.0001,0.8553
64,2,0.1,0.001,0.9013
64,2,0.1,0.0005,0.9005
64,2,0.1,0.0001,0.8590
64,3,0.02,0.001,0.9065
64,3,0.02,0.0005,0.9132
64,3,0.02,0.0001,0.8821
64,3,0.05,0.001,0.9055
64,3,0.05,0.0005,0.9107
64,3,0.05,0.0001,0.8800
64,3,0.1,0.001,0.9098
64,3,0.1,0.0005,0.9029
64,3,0.1,0.0001,0.8770
128,1,0.02,0.001,0.8688
128,1,0.02,0.0005,0.8643
128,1,0.02,0.0001,0.8257
128,1,0.05,0.001,0.8731
128,1,0.05,0.0005,0.8663
128,1,0.05,0.0001,0.8261
128,1,0.1,0.001,0.8736
128,1,0.1,0.0005,0.8667
128,1,0.1,0.0001,0.8272
128,2,0.02,0.001,0.9083
128,2,0.02,0.0005,0.9063
128,2,0.02,0.0001,0.8828
128,2,0.05,0.001,0.9023
128,2,0.05,0.0005,0.9081
128,2,0.05,0.0001,0.8753
128,2,0.1,0.001,0.9106
128,2,0.1,0.0005,0.9079
128,2,0.1,0.0001,0.8782
128,3,0.02,0.001,0.9099
128,3,0.02,0.0005,0.9121
128,3,0.02,0.0001,0.8952
128,3,0.05,0.001,0.9077
128,3,0.05,0.0005,0.9069
128,3,0.05,0.0001,0.8890
